date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2024-02-16,12628.676935528743,-0.5418110832237755,12943.0,-6.366201258771609
2024-02-20,12558.110124693325,-1.0975658340305117,12943.0,-6.366201258771609
2024-02-21,12572.779927662696,-0.9820325883430848,12879.0,-6.829197713955004
2024-02-22,12832.789538912915,0.0,12879.0,-6.829197713955004
2024-02-23,12841.136150947214,0.0,12634.0,-8.601606018953923
2024-02-26,12796.8738144017,-0.3446917470947386,12634.0,-8.601606018953923
2024-02-27,12821.660722867187,-0.1516643687216823,12637.0,-8.5799030601172
2024-02-28,12799.150163138323,-0.3269647429584466,12637.0,-8.5799030601172
2024-02-29,12858.588157928016,0.0,12637.0,-8.5799030601172
2024-03-01,12968.864607835698,0.0,12756.0,-7.719019026260576
2024-03-04,12953.183094316715,-0.1209166260360827,12756.0,-7.719019026260576
2024-03-05,12832.030756000708,-1.0550950755728872,12756.0,-7.719019026260576
2024-03-06,12898.297797000278,-0.5441248171623614,12861.0,-6.959415466975328
2024-03-07,13020.967701140706,0.0,12861.0,-6.959415466975328
2024-03-08,12955.965298328148,-0.4992133019949274,12861.0,-6.959415466975328
2024-03-11,12934.213521511496,-0.6662652240632561,12900.0,-6.677277002097948
2024-03-12,13071.553228621293,0.0,12900.0,-6.677277002097948
2024-03-13,13052.836583453476,-0.1431860838606025,13047.0,-5.6138320190986075
2024-03-14,13021.979411690316,-0.3792496275226931,13495.0,-2.3728568328148736
2024-03-15,12899.30950754989,-1.3176989609334333,13443.0,-2.7490414526513796
2024-03-18,12966.335331461669,-0.8049379849461191,13627.0,-1.4179266439991345
2024-03-19,13046.260464881,-0.1934947079197391,13627.0,-1.4179266439991345
2024-03-20,13157.548625338291,0.0,13627.0,-1.4179266439991345
2024-03-21,13208.38708045628,0.0,13627.0,-1.4179266439991345
2024-03-22,13185.117737815212,-0.1761709624296226,13690.0,-0.9621645084279873
2024-03-25,13153.24885550244,-0.4174485848875919,13690.0,-0.9621645084279873
2024-03-26,13130.232440498774,-0.5917046455516717,13690.0,-0.9621645084279873
2024-03-27,13231.909350734755,0.0,13802.0,-0.15192071185704537
2024-03-28,13228.368363811114,-0.0267609672178092,13879.0,0.0
2024-04-01,13206.616586994462,-0.1911497658415362,14026.0,0.0
2024-04-02,13123.656321926295,-0.8181209978017745,14026.0,0.0
2024-04-03,13145.661026380352,-0.6518207015196453,14026.0,0.0
2024-04-04,12984.54612135468,-1.8694447099302347,14026.0,0.0
2024-04-05,13110.25115714394,-0.9194303736977938,14026.0,0.0
2024-04-08,13121.37997318967,-0.835324476727517,14145.0,0.0
2024-04-09,13142.372967094114,-0.6766701710790524,14424.0,0.0
2024-04-10,12997.192503224827,-1.7738698270094666,14424.0,0.0
2024-04-11,13099.881124010422,-0.9978017776928084,14530.0,0.0
2024-04-12,12923.843488377976,-2.3282041479499194,13783.0,-5.141087405368205
2024-04-15,12751.599767306574,-3.6299340533307856,14055.0,-3.269098417068139
2024-04-16,12726.30700356628,-3.8210838191723218,14249.0,-1.9339298004129368
2024-04-17,12647.646508333966,-4.4155595909395,14457.0,-0.5024088093599444
2024-04-18,12638.54111338746,-4.484373506642458,14457.0,-0.5024088093599444
2024-04-19,12517.894630346258,-5.396157889706588,14457.0,-0.5024088093599444
2024-04-22,12625.894731517314,-4.579948389563215,14649.0,0.0
2024-04-23,12782.456939069734,-3.3967313390041,14649.0,0.0
